"Time,fr","Time,min",cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25
29,28.98514417,174.8,159.261,197.595,197.065,145.19,170.062,164.756,191.932,169.47,129.773,145.842,167.436,167.987,162.647,248.236,250.93,123.089,171.833,246.175,243.588,181.126,239.91,242.643,259.087,235.654
30,29.9846319,172.59,155.953,192.225,188.725,144.625,164.723,161.799,189.543,167.55,132.442,143.172,168.436,168.695,160.092,245.306,250.439,121.821,169.78,244.414,241.02,186.656,239.883,237.829,262.508,237.909
31,30.98411963,174.768,158.143,191.149,181.623,146.2,166.21,164.112,189.767,164.822,128.57,142.729,165.622,178.934,161.143,242.24,245.257,121.968,171.254,244.634,246.219,189.876,239.642,242.055,262.13,234.471
32,31.98360736,173.084,155.742,193.392,190.18,146.686,167.006,159.424,192.47,167.442,133.885,149.294,165.408,173.369,160.146,245.223,245.006,123.044,171.254,246.755,244.642,186.256,244.964,241.343,258.598,233.762
33,32.98309509,172.942,156.735,189.85,191.81,148.637,165.194,166.472,189.662,166.939,136.012,145.244,169.605,172.396,160.941,239.396,247.763,120.853,174.034,246.156,242.14,182.386,241.33,240.776,261.391,234.314
34,33.98258282,175.344,154.663,187.044,190.273,143.002,165.715,166.733,186.911,158.664,133.928,143.798,163.681,171.897,161.404,246.046,239.532,119.141,172.504,240.338,243.526,185.042,241.87,239.955,249.498,236.753
35,34.98207055,176.71,155.809,192.242,188.721,144.287,166.685,166.817,189.095,163.959,134.309,145.944,161.257,171.349,159.896,244.86,243.817,118.187,173.26,241.78,245.407,183.012,238.046,239.506,259.364,231.255
36,35.98155828,173.231,156.114,187.493,195.942,146.446,165.658,167.526,189.239,166.208,134.222,144.574,165.057,172.955,159.627,238.719,247.727,120.973,169.587,244.939,243.711,181.168,239.055,242.805,252.843,234.569
37,36.98104601,172.602,155.414,192.345,190.282,146.026,163.01,163.644,187.991,169.958,129.582,143.232,160.784,169.804,156.649,241.908,243.989,119.176,170.292,242.785,243.127,184.441,241.842,238.566,258.148,231.825
38,37.98053374,171.588,154.81,191.769,197.328,144.845,161.944,162.533,189.596,167.949,132.812,146.961,165.376,175.119,159.932,237.596,248.348,119.889,171.663,239.052,242.548,183.303,231.276,238.625,255.941,232.483
39,38.98002147,170.01,155.569,194.143,189.019,145.19,163.508,162.479,191.426,165.912,130.333,141.381,163.96,174.598,161.696,238.745,243.784,119.88,167.783,234.84,241.707,179.741,239.206,235.654,257.152,231.597
40,39.9795092,168.575,158.392,189.809,188.207,143.893,166.854,160.094,188.532,164.354,134.684,147.243,161.84,170.298,155.421,240.172,244.872,116.679,168.51,239.703,241.902,176.455,236.386,236.585,253.944,227.425
41,40.97899693,168.598,153.173,191.432,188.064,143.766,166.763,158.504,187.634,168.041,128.879,144.543,161.27,172.791,160.056,239.204,242.984,119.766,164.723,240.96,239.488,183.382,234.384,237.38,256.071,235.502
42,41.97848466,167.399,159.339,188.863,195.899,143.793,168.151,165.483,188.993,167.023,127.508,143.242,165.058,173.13,161.742,241.387,244.918,123.284,166.935,241.366,243.025,180.491,239.311,237.53,256.738,231.112
